name,setup_id,cache_type,budget,heavy_ratio,recent_ratio,num_clusters,sequence_length,perplexity,compression_ratio,peak_memory_gb,timestamp
H2O-256-50/50,setup_2_h2o,H2O,256,0.5,0.5,,2048,12.88,8.0,,2025-12-25T19:47:48
H2O-256-70/30,setup_2_h2o,H2O,256,0.7,0.3,,2048,12.88,8.0,,2025-12-25T19:47:48
H2O-256-30/70,setup_2_h2o,H2O,256,0.3,0.7,,2048,12.88,8.0,,2025-12-25T19:47:48
H2O-256-80/20,setup_2_h2o,H2O,256,0.8,0.2,,2048,12.88,8.0,,2025-12-25T19:47:48
H2O-256-20/80,setup_2_h2o,H2O,256,0.2,0.8,,2048,12.88,8.0,,2025-12-25T19:47:48
H2O-512-50/50,setup_2_h2o,H2O,512,0.5,0.5,,2048,12.88,4.0,,2025-12-25T19:47:48
H2O-512-70/30,setup_2_h2o,H2O,512,0.7,0.3,,2048,12.88,4.0,,2025-12-25T19:47:48
H2O-512-30/70,setup_2_h2o,H2O,512,0.3,0.7,,2048,12.88,4.0,,2025-12-25T19:47:48
H2O-512-80/20,setup_2_h2o,H2O,512,0.8,0.2,,2048,12.88,4.0,,2025-12-25T19:47:48
H2O-512-20/80,setup_2_h2o,H2O,512,0.2,0.8,,2048,12.88,4.0,,2025-12-25T19:47:48
H2O-1024-50/50,setup_2_h2o,H2O,1024,0.5,0.5,,2048,12.88,2.0,,2025-12-25T19:47:48
H2O-1024-70/30,setup_2_h2o,H2O,1024,0.7,0.3,,2048,12.88,2.0,,2025-12-25T19:47:48
H2O-1024-30/70,setup_2_h2o,H2O,1024,0.3,0.7,,2048,12.88,2.0,,2025-12-25T19:47:48
H2O-1024-80/20,setup_2_h2o,H2O,1024,0.8,0.2,,2048,12.88,2.0,,2025-12-25T19:47:48
H2O-1024-20/80,setup_2_h2o,H2O,1024,0.2,0.8,,2048,12.88,2.0,,2025-12-25T19:47:48
H2O-2048-50/50,setup_2_h2o,H2O,2048,0.5,0.5,,2048,12.88,1.0,,2025-12-25T19:47:48
H2O-2048-70/30,setup_2_h2o,H2O,2048,0.7,0.3,,2048,12.88,1.0,,2025-12-25T19:47:48
H2O-2048-30/70,setup_2_h2o,H2O,2048,0.3,0.7,,2048,12.88,1.0,,2025-12-25T19:47:48
H2O-2048-80/20,setup_2_h2o,H2O,2048,0.8,0.2,,2048,12.88,1.0,,2025-12-25T19:47:48
H2O-2048-20/80,setup_2_h2o,H2O,2048,0.2,0.8,,2048,12.88,1.0,,2025-12-25T19:47:48
